#feature                                                         ;occurence
CONFIG_X86_32                                                   ;48
CONFIG_X86                                                      ;100
CONFIG_INSTRUCTION_DECODER                                      ;100
CONFIG_OUTPUT_FORMAT                                            ;100
CONFIG_ARCH_DEFCONFIG                                           ;100
CONFIG_LOCKDEP_SUPPORT                                          ;100
CONFIG_STACKTRACE_SUPPORT                                       ;100
CONFIG_MMU                                                      ;100
CONFIG_ARCH_MMAP_RND_BITS_MIN                                   ;100
CONFIG_ARCH_MMAP_RND_BITS_MAX                                   ;100
CONFIG_ARCH_MMAP_RND_COMPAT_BITS_MIN                            ;100
CONFIG_ARCH_MMAP_RND_COMPAT_BITS_MAX                            ;100
CONFIG_NEED_DMA_MAP_STATE                                       ;91
CONFIG_NEED_SG_DMA_LENGTH                                       ;100
CONFIG_GENERIC_ISA_DMA                                          ;81
CONFIG_GENERIC_BUG                                              ;72
CONFIG_GENERIC_HWEIGHT                                          ;100
CONFIG_ARCH_MAY_HAVE_PC_FDC                                     ;81
CONFIG_RWSEM_XCHGADD_ALGORITHM                                  ;100
CONFIG_GENERIC_CALIBRATE_DELAY                                  ;100
CONFIG_ARCH_HAS_CPU_RELAX                                       ;100
CONFIG_ARCH_HAS_CACHE_LINE_SIZE                                 ;100
CONFIG_HAVE_SETUP_PER_CPU_AREA                                  ;100
CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK                           ;100
CONFIG_NEED_PER_CPU_PAGE_FIRST_CHUNK                            ;100
CONFIG_ARCH_HIBERNATION_POSSIBLE                                ;100
CONFIG_ARCH_SUSPEND_POSSIBLE                                    ;100
CONFIG_ARCH_WANT_HUGE_PMD_SHARE                                 ;100
CONFIG_ARCH_WANT_GENERAL_HUGETLB                                ;100
CONFIG_ARCH_SUPPORTS_OPTIMIZED_INLINING                         ;100
CONFIG_ARCH_SUPPORTS_DEBUG_PAGEALLOC                            ;100
CONFIG_ARCH_SUPPORTS_UPROBES                                    ;100
CONFIG_FIX_EARLYCON_MEM                                         ;100
CONFIG_PGTABLE_LEVELS                                           ;100
CONFIG_DEFCONFIG_LIST                                           ;100
CONFIG_CONSTRUCTORS                                             ;58
CONFIG_IRQ_WORK                                                 ;100
CONFIG_BUILDTIME_EXTABLE_SORT                                   ;100
CONFIG_THREAD_INFO_IN_TASK                                      ;100
CONFIG_BROKEN_ON_SMP                                            ;53
CONFIG_INIT_ENV_ARG_LIMIT                                       ;100
CONFIG_CROSS_COMPILE                                            ;100
CONFIG_LOCALVERSION                                             ;100
CONFIG_LOCALVERSION_AUTO                                        ;24
CONFIG_HAVE_KERNEL_GZIP                                         ;100
CONFIG_HAVE_KERNEL_BZIP2                                        ;100
CONFIG_HAVE_KERNEL_LZMA                                         ;100
CONFIG_HAVE_KERNEL_XZ                                           ;100
CONFIG_HAVE_KERNEL_LZO                                          ;100
CONFIG_HAVE_KERNEL_LZ4                                          ;100
CONFIG_KERNEL_XZ                                                ;24
CONFIG_DEFAULT_HOSTNAME                                         ;100
CONFIG_SYSVIPC                                                  ;47
CONFIG_CROSS_MEMORY_ATTACH                                      ;54
CONFIG_USELIB                                                   ;55
CONFIG_HAVE_ARCH_AUDITSYSCALL                                   ;100
CONFIG_GENERIC_IRQ_PROBE                                        ;100
CONFIG_GENERIC_IRQ_SHOW                                         ;100
CONFIG_GENERIC_IRQ_CHIP                                         ;85
CONFIG_IRQ_DOMAIN                                               ;100
CONFIG_IRQ_FORCED_THREADING                                     ;100
CONFIG_SPARSE_IRQ                                               ;100
CONFIG_CLOCKSOURCE_WATCHDOG                                     ;100
CONFIG_ARCH_CLOCKSOURCE_DATA                                    ;100
CONFIG_CLOCKSOURCE_VALIDATE_LAST_CYCLE                          ;100
CONFIG_GENERIC_TIME_VSYSCALL                                    ;100
CONFIG_GENERIC_CLOCKEVENTS                                      ;100
CONFIG_GENERIC_CLOCKEVENTS_MIN_ADJUST                           ;100
CONFIG_GENERIC_CMOS_UPDATE                                      ;100
CONFIG_TICK_ONESHOT                                             ;71
CONFIG_NO_HZ_COMMON                                             ;50
CONFIG_NO_HZ_IDLE                                               ;39
CONFIG_NO_HZ                                                    ;56
CONFIG_TICK_CPU_ACCOUNTING                                      ;76
CONFIG_TINY_RCU                                                 ;35
CONFIG_RCU_EXPERT                                               ;41
CONFIG_SRCU                                                     ;100
CONFIG_TINY_SRCU                                                ;35
CONFIG_TASKS_RCU                                                ;83
CONFIG_BUILD_BIN2C                                              ;75
CONFIG_IKCONFIG                                                 ;64
CONFIG_HAVE_UNSTABLE_SCHED_CLOCK                                ;100
CONFIG_ARCH_WANT_BATCHED_UNMAP_TLB_FLUSH                        ;100
CONFIG_CGROUPS                                                  ;74
CONFIG_CGROUP_SCHED                                             ;63
CONFIG_FAIR_GROUP_SCHED                                         ;58
CONFIG_CFS_BANDWIDTH                                            ;27
CONFIG_CGROUP_PIDS                                              ;39
CONFIG_CGROUP_RDMA                                              ;48
CONFIG_CGROUP_CPUACCT                                           ;37
CONFIG_CGROUP_PERF                                              ;34
CONFIG_SCHED_AUTOGROUP                                          ;51
CONFIG_RELAY                                                    ;75
CONFIG_CC_OPTIMIZE_FOR_SIZE                                     ;48
CONFIG_ANON_INODES                                              ;100
CONFIG_HAVE_UID16                                               ;77
CONFIG_SYSCTL_EXCEPTION_TRACE                                   ;100
CONFIG_HAVE_PCSPKR_PLATFORM                                     ;100
CONFIG_EXPERT                                                   ;83
CONFIG_SGETMASK_SYSCALL                                         ;55
CONFIG_KALLSYMS                                                 ;100
CONFIG_KALLSYMS_ALL                                             ;90
CONFIG_KALLSYMS_BASE_RELATIVE                                   ;100
CONFIG_BUG                                                      ;72
CONFIG_ELF_CORE                                                 ;40
CONFIG_FUTEX                                                    ;57
CONFIG_SIGNALFD                                                 ;52
CONFIG_TIMERFD                                                  ;54
CONFIG_EVENTFD                                                  ;72
CONFIG_SHMEM                                                    ;69
CONFIG_AIO                                                      ;65
CONFIG_HAVE_PERF_EVENTS                                         ;100
CONFIG_PERF_USE_VMALLOC                                         ;46
CONFIG_PC104                                                    ;47
CONFIG_PERF_EVENTS                                              ;100
CONFIG_DEBUG_PERF_USE_VMALLOC                                   ;46
CONFIG_SLAB                                                     ;32
