option,type
HAVE_KERNEL_LZMA,BOOL
INET_XFRM_MODE_TUNNEL,TRISTATE
BCMA_PFLASH,BOOL
PWM_BCM_IPROC,TRISTATE
CRYPTO_SHA512_MB,TRISTATE
MTD_NAND_DAVINCI,TRISTATE
B43_PHY_LCN,BOOL
HISAX_BKM_A4T,BOOL
SENSORS_W83L785TS,TRISTATE
ISCSI_IBFT,TRISTATE
HAVE_KERNEL_LZO,BOOL
NET_UDP_TUNNEL,TRISTATE
BCMA_DRIVER_GMAC_CMN,BOOL
SND_SOC_SH4_HAC,TRISTATE
PWM_BCM_KONA,TRISTATE
CRYPTO_SHA256_PPC_SPE,TRISTATE
B43_PHY_AC,BOOL
HISAX_SCT_QUADRO,BOOL
SENSORS_W83L786NG,TRISTATE
FW_CFG_SYSFS,TRISTATE
HAVE_KERNEL_XZ,BOOL
NET_FOU,TRISTATE
BCMA_DEBUG,BOOL
SND_SOC_SH4_SSI,TRISTATE
PWM_BCM2835,TRISTATE
CRYPTO_SHA256_OCTEON,TRISTATE
B43_LEDS,BOOL
HISAX_GAZEL,BOOL
SENSORS_W83627HF,TRISTATE
TI_AEMIF,TRISTATE
FW_CFG_SYSFS_CMDLINE,BOOL
HAVE_KPROBES,BOOL
NET_FOU_IP_TUNNELS,BOOL
MFD_SUN4I_GPADC,TRISTATE
SND_SOC_SH4_FSI,TRISTATE
PWM_BERLIN,TRISTATE
CRYPTO_SHA256_SPARC64,TRISTATE
MTD_NAND_TXX9NDFMC,TRISTATE
B43_HWRNG,BOOL
HISAX_HFC_PCI,BOOL
QCOM_SCM_32,BOOL
HAVE_KPROBES_ON_FTRACE,BOOL
SCHED_HRTICK,BOOL
IPV6_SIT,TRISTATE
SENSORS_W83627EHF,TRISTATE
MFD_AS3711,BOOL
SND_SIMPLE_CARD,TRISTATE
PWM_BFIN,TRISTATE
CRYPTO_SHA512_OCTEON,TRISTATE
B43_DEBUG,BOOL
QCOM_SCM_64,BOOL
HAVE_KRETPROBES,BOOL
KEXEC,BOOL
INET_AH,TRISTATE
HISAX_W6692,BOOL
SENSORS_WM831X,TRISTATE
MFD_AAT2870_CORE,BOOL
SND_SOC_SH4_SIU,TRISTATE
PWM_BRCMSTB,TRISTATE
CRYPTO_SHA512_SPARC64,TRISTATE
B43LEGACY,TRISTATE
BCM47XX_SPROM,BOOL
ARM_RK3399_DMC_DEVFREQ,TRISTATE
