xp; xp_val; conf; conf_val
AUXDISPLAY; y; AUXDISPLAY; y
KS0108; y; KS0108; y
KS0108_DELAY; 2; KS0108_DELAY; 2
W1; y; W1; y
HAS_IOMEM; y; HAS_IOMEM; y
POWER_SUPPLY; y; POWER_SUPPLY; y
COMPILE_TEST; y; COMPILE_TEST; y
I2C; y; I2C; y
NET; y; NET; y
TTY; y; TTY; y
MMC; y; MMC; y
MEDIA_CAMERA_SUPPORT; y; MEDIA_CAMERA_SUPPORT; y
USB; y; USB; y
MEDIA_USB_SUPPORT; y; MEDIA_USB_SUPPORT; y
VIDEO_V4L2; y; VIDEO_V4L2; y
MEDIA_SUPPORT; y; MEDIA_SUPPORT; y
X86_64; y; X86_64; y
HAVE_IRQ_EXIT_ON_IRQ_STACK; y; HAVE_IRQ_EXIT_ON_IRQ_STACK; y
X86; y; X86; y
VIDEO_DEV; y; VIDEO_DEV; y
NETDEVICES; y; NETDEVICES; y
WAN; y; WAN; y
XEN; y; XEN; y
NET_SCHED; y; NET_SCHED; y
ISDN_CAPI; y; ISDN_CAPI; y
ISDN; y; ISDN; y
USB_SUPPORT; y; USB_SUPPORT; y
USB_GADGET; y; USB_GADGET; y
USB_CONFIGFS; y; USB_CONFIGFS; y
INFINIBAND; y; INFINIBAND; y
64BIT; y; 64BIT; y
NET_VENDOR_QLOGIC; y; NET_VENDOR_QLOGIC; y
ETHERNET; y; ETHERNET; y
HAVE_ARCH_KGDB; y; HAVE_ARCH_KGDB; y
NETFILTER_XTABLES; y; NETFILTER_XTABLES; y
NETFILTER; y; NETFILTER; y
INET; y; INET; y
NF_CONNTRACK; y; NF_CONNTRACK; y
NETFILTER_ADVANCED; y; NETFILTER_ADVANCED; y
RC_CORE; y; RC_CORE; y
RC_DEVICES; y; RC_DEVICES; y
RADIO_ADAPTERS; y; RADIO_ADAPTERS; y
RADIO_RTRACK2_PORT; 30c; ; 
THREAD_INFO_IN_TASK; y; THREAD_INFO_IN_TASK; y
PCI_MSI; y; PCI_MSI; y
MEDIA_PCI_SUPPORT; y; MEDIA_PCI_SUPPORT; y
PCI; y; PCI; y
MEDIA_DIGITAL_TV_SUPPORT; y; MEDIA_DIGITAL_TV_SUPPORT; y
IIO; y; IIO; y
SPI_MASTER; y; SPI_MASTER; y
USB_SERIAL_IPW; y; USB_SERIAL_IPW; y
USB_SERIAL; y; USB_SERIAL; y
SND_SOC_MAX9860; y; SND_SOC_MAX9860; y
SND_SOC; y; SND_SOC; y
SND; y; SND; y
SOUND; y; SOUND; y
SND_SOC_ALL_CODECS; y; SND_SOC_ALL_CODECS; y
SPI; y; SPI; y
DVB_USB_EC168; y; DVB_USB_EC168; y
DVB_USB_V2; y; DVB_USB_V2; y
BACKLIGHT_GENERIC; y; BACKLIGHT_GENERIC; y
BACKLIGHT_CLASS_DEVICE; y; BACKLIGHT_CLASS_DEVICE; y
BACKLIGHT_LCD_SUPPORT; y; BACKLIGHT_LCD_SUPPORT; y
WLAN; y; WLAN; y
B43; y; B43; y
WLAN_VENDOR_BROADCOM; y; WLAN_VENDOR_BROADCOM; y
MSNDPIN_IDE_IRQ; 1; ; 
CRYPTO; y; CRYPTO; y
MTD; y; MTD; y
NF_TABLES; y; NF_TABLES; y
NF_NAT; y; NF_NAT; y
NF_NAT_IPV6; y; NF_NAT_IPV6; y
NF_DEFRAG_IPV6; y; NF_DEFRAG_IPV6; y
MPLS; y; MPLS; y
HWMON; y; HWMON; y
HAVE_KERNEL_BZIP2; y; HAVE_KERNEL_BZIP2; y
HAVE_PERF_REGS; y; HAVE_PERF_REGS; y
FONT_SUPPORT; y; FONT_SUPPORT; y
FB; y; FB; y
USB_EHCI_HCD; y; USB_EHCI_HCD; y
VT; y; VT; y
HAS_DMA; y; HAS_DMA; y
VIDEO_SOLO6X10; y; VIDEO_SOLO6X10; y
EARLY_PRINTK; y; EARLY_PRINTK; y
V4L_TEST_DRIVERS; y; V4L_TEST_DRIVERS; y
SERIAL_ALTERA_UART; y; SERIAL_ALTERA_UART; y
SERIAL_ALTERA_UART_MAXPORTS; 1; SERIAL_ALTERA_UART_MAXPORTS; 1
STAGING; y; STAGING; y
CAN; y; CAN; y
CAN_DEV; y; CAN_DEV; y
SND_SOC_INTEL_BYT_CHT_NOCODEC_MACH; y; SND_SOC_INTEL_BYT_CHT_NOCODEC_MACH; y
ACPI; y; ACPI; y
X86_INTEL_LPSS; y; X86_INTEL_LPSS; y
TWL4030_CORE; y; TWL4030_CORE; y
GPIOLIB; y; GPIOLIB; y
INPUT; y; INPUT; y
DCA; y; DCA; y
IXGBE; y; IXGBE; y
NET_VENDOR_INTEL; y; NET_VENDOR_INTEL; y
COMEDI; y; COMEDI; y
X86_PLATFORM_DEVICES; y; X86_PLATFORM_DEVICES; y
DEBUG_KERNEL; y; DEBUG_KERNEL; y
TRACE_IRQFLAGS_SUPPORT; y; TRACE_IRQFLAGS_SUPPORT; y
INPUT_MOUSEDEV_SCREEN_Y; 0; ; 
DMI; y; DMI; y
LEDS_CLASS; y; LEDS_CLASS; y
NEW_LEDS; y; NEW_LEDS; y
NET_CLS_FLOW; y; NET_CLS_FLOW; y
NET_CLS; y; NET_CLS; y
NET_CLS_RSVP6; y; NET_CLS_RSVP6; y
COMMON_CLK; y; COMMON_CLK; y
X86_INTEL_MID; y; X86_INTEL_MID; y
X86_IO_APIC; y; X86_IO_APIC; y
X86_EXTENDED_PLATFORM; y; X86_EXTENDED_PLATFORM; y
INTEL_SCU_IPC; y; INTEL_SCU_IPC; y
FB_TFT; y; FB_TFT; y
MFD_ATMEL_HLCDC; y; MFD_ATMEL_HLCDC; y
PWM; y; PWM; y
