name,sat,nb_yes,nb_mod,last_clause,in,core
randconfig_0,False,2798,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_1,False,1851,0,BCMA_DRIVER_GMAC_CMN,True,['~BCMA_DRIVER_GMAC_CMN'  'BCMA_DRIVER_GMAC_CMN']
randconfig_2,False,1538,1416,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_3,False,2591,0,BCMA_DRIVER_GMAC_CMN,True,['~BCMA_DRIVER_GMAC_CMN'  'BCMA_DRIVER_GMAC_CMN']
randconfig_4,False,1445,924,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_5,False,1866,0,BCMA_DRIVER_GMAC_CMN,True,['~BCMA_DRIVER_GMAC_CMN'  'BCMA_DRIVER_GMAC_CMN']
randconfig_6,False,1060,423,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_7,False,878,816,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS_MODULE'  'SENSORS_W83L785TS_MODULE']
randconfig_8,False,1359,586,ISCSI_IBFT,True,['~ISCSI_IBFT'  'ISCSI_IBFT']
randconfig_9,False,1174,599,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_10,False,1848,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_11,False,2085,0,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG'  'SENSORS_W83L786NG']
randconfig_12,False,2510,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_13,False,1801,1089,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG_MODULE'  'SENSORS_W83L786NG_MODULE']
randconfig_14,False,2010,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_15,False,2165,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_16,False,1602,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_17,False,1106,887,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB_MODULE'  'CRYPTO_SHA512_MB_MODULE']
randconfig_18,False,1848,1019,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL_MODULE'  'INET_XFRM_MODE_TUNNEL_MODULE']
randconfig_19,False,1638,829,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_20,False,1692,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_21,False,1786,1497,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_22,False,1965,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_23,False,1399,1190,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB_MODULE'  'CRYPTO_SHA512_MB_MODULE']
randconfig_24,False,1686,887,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL_MODULE'  'INET_XFRM_MODE_TUNNEL_MODULE']
randconfig_25,False,1207,500,MFD_AAT2870_CORE,True,['~MFD_AAT2870_CORE'  'REGULATOR_AAT2870']
randconfig_26,False,2516,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_27,False,2047,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_28,False,2539,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_29,False,1186,1427,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS_MODULE'  'SENSORS_W83L785TS_MODULE']
randconfig_30,False,2671,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_31,False,2308,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_32,False,1107,629,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS_MODULE'  'SENSORS_W83L785TS_MODULE']
randconfig_33,False,1316,1293,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG_MODULE'  'SENSORS_W83L786NG_MODULE']
randconfig_34,False,2455,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_35,False,2522,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_36,False,955,511,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS_MODULE'  'SENSORS_W83L785TS_MODULE']
randconfig_37,False,1772,959,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC_MODULE'  'PWM_BCM_IPROC_MODULE']
randconfig_38,False,1363,960,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB_MODULE'  'CRYPTO_SHA512_MB_MODULE']
randconfig_39,False,1069,531,BCMA_DRIVER_GMAC_CMN,True,['~BCMA_DRIVER_GMAC_CMN'  'BCMA_DRIVER_GMAC_CMN']
randconfig_40,False,2417,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_41,False,1627,902,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_42,False,2473,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_43,False,2401,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_44,False,1272,979,BCMA_DRIVER_GMAC_CMN,True,['~BCMA_DRIVER_GMAC_CMN'  'BCMA_DRIVER_GMAC_CMN']
randconfig_45,False,2128,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_46,False,1381,1470,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS_MODULE'  'SENSORS_W83L785TS_MODULE']
randconfig_47,False,1561,1298,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG_MODULE'  'SENSORS_W83L786NG_MODULE']
randconfig_48,False,1398,852,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_49,False,1481,765,NET_UDP_TUNNEL,True,['~NET_UDP_TUNNEL_MODULE'  '~NET_IP_TUNNEL'  'L2TP_MODULE'  'NF_CONNTRACK']
